soc_code,title,major_group,national_median_salary_usd,total_employment,income_pct,profession_score
13-2051,Financial and Investment Analysts,13-0000,105481,1012070,84.6,84.6
13-2052,Personal Financial Advisors,13-0000,112630,757470,87.3,87.3
13-2053,Insurance Underwriters,13-0000,85002,391170,74.2,74.2
13-2054,Financial Risk Specialists,13-0000,119421,170000,89.2,89.2
13-2061,Financial Examiners,13-0000,97140,183410,81.2,81.2
13-2071,Credit Counselors,13-0000,54198,65670,37.1,37.1
13-2072,Loan Officers,13-0000,75581,870110,63.9,63.9
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-0000,64079,170190,50.8,50.8
13-2082,Tax Preparers,13-0000,54394,220320,37.5,37.5
13-2099,"Financial Specialists, All Other",13-0000,85300,339770,74.4,74.4
15-1211,Computer Systems Analysts,15-0000,111500,1505440,86.9,86.9
15-1212,Information Security Analysts,15-0000,130243,523630,91.8,91.8
15-1221,Computer and Information Research Scientists,15-0000,147300,94850,94.9,94.9
15-1231,Computer Network Support Specialists,15-0000,77546,371500,65.6,65.6
15-1232,Computer User Support Specialists,15-0000,63296,2087650,49.7,49.7
15-1241,Computer Network Architects,15-0000,138306,495260,93.0,93.0
15-1242,Database Administrators,15-0000,110709,165690,86.5,86.5
15-1243,Database Architects,15-0000,145419,162210,94.5,94.5
15-1244,Network and Computer Systems Administrators,15-0000,100505,884980,83.1,83.1
15-1251,Computer Programmers,15-0000,105521,198840,84.7,84.7
15-1252,Software Developers,15-0000,144172,5060410,94.2,94.2
15-1253,Software Quality Assurance Analysts and Testers,15-0000,108390,515910,85.7,85.7
15-1254,Web Developers,15-0000,98768,142130,82.1,82.1
15-1255,Web and Digital Interface Designers,15-0000,119758,278000,89.5,89.5
15-1299,"Computer Occupations, All Other",15-0000,118380,1213750,88.7,88.7
15-2011,Actuaries,15-0000,132504,74680,92.2,92.2
15-2021,Mathematicians,15-0000,136309,3180,92.5,92.5
15-2031,Operations Research Analysts,15-0000,94635,286900,79.2,79.2
15-2041,Statisticians,15-0000,112489,67420,87.1,87.1
15-2051,Data Scientists,15-0000,121669,730430,90.2,90.2
15-2099,"Mathematical Science Occupations, All Other",15-0000,81861,5090,69.6,69.6
17-1011,"Architects, Except Landscape and Naval",17-0000,97768,312630,81.5,81.5
17-1012,Landscape Architects,17-0000,82440,55550,70.4,70.4
