"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
02170,"Matanuska-Susitna Borough, AK",3,Per capita personal income (dollars) 2,63994
02180,"Nome Census Area, AK",1,Personal income (thousands of dollars),671261
02180,"Nome Census Area, AK",2,Population (persons) 1,9836
02180,"Nome Census Area, AK",3,Per capita personal income (dollars) 2,68245
02185,"North Slope Borough, AK*",1,Personal income (thousands of dollars),983282
02185,"North Slope Borough, AK*",2,Population (persons) 1,10663
02185,"North Slope Borough, AK*",3,Per capita personal income (dollars) 2,92214
02188,"Northwest Arctic Borough, AK",1,Personal income (thousands of dollars),448641
02188,"Northwest Arctic Borough, AK",2,Population (persons) 1,7134
02188,"Northwest Arctic Borough, AK",3,Per capita personal income (dollars) 2,62888
02195,"Petersburg Borough, AK*",1,Personal income (thousands of dollars),284449
02195,"Petersburg Borough, AK*",2,Population (persons) 1,3436
02195,"Petersburg Borough, AK*",3,Per capita personal income (dollars) 2,82785
02198,"Prince of Wales-Hyder Census Area, AK*",1,Personal income (thousands of dollars),327499
02198,"Prince of Wales-Hyder Census Area, AK*",2,Population (persons) 1,5746
02198,"Prince of Wales-Hyder Census Area, AK*",3,Per capita personal income (dollars) 2,56996
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",1,Personal income (thousands of dollars),(NA)
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",2,Population (persons) 1,(NA)
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",3,Per capita personal income (dollars) 2,(NA)
02220,"Sitka City and Borough, AK*",1,Personal income (thousands of dollars),764044
02220,"Sitka City and Borough, AK*",2,Population (persons) 1,8355
02220,"Sitka City and Borough, AK*",3,Per capita personal income (dollars) 2,91448
02230,"Skagway Municipality, AK*",1,Personal income (thousands of dollars),111718
02230,"Skagway Municipality, AK*",2,Population (persons) 1,1119
02230,"Skagway Municipality, AK*",3,Per capita personal income (dollars) 2,99837
02231,"Skagway-Yakutat-Angoon Census Area, AK*",1,Personal income (thousands of dollars),(NA)
02231,"Skagway-Yakutat-Angoon Census Area, AK*",2,Population (persons) 1,(NA)
02231,"Skagway-Yakutat-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2,(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",1,Personal income (thousands of dollars),(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",2,Population (persons) 1,(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2,(NA)
02240,"Southeast Fairbanks Census Area, AK*",1,Personal income (thousands of dollars),503017
02240,"Southeast Fairbanks Census Area, AK*",2,Population (persons) 1,7313
02240,"Southeast Fairbanks Census Area, AK*",3,Per capita personal income (dollars) 2,68784
02261,"Valdez-Cordova Census Area, AK*",1,Personal income (thousands of dollars),(NA)
02261,"Valdez-Cordova Census Area, AK*",2,Population (persons) 1,(NA)
02261,"Valdez-Cordova Census Area, AK*",3,Per capita personal income (dollars) 2,(NA)
02275,"Wrangell City and Borough, AK*",1,Personal income (thousands of dollars),139764
02275,"Wrangell City and Borough, AK*",2,Population (persons) 1,2064
02275,"Wrangell City and Borough, AK*",3,Per capita personal income (dollars) 2,67715
02280,"Wrangell-Petersburg Census Area, AK*",1,Personal income (thousands of dollars),(NA)
02280,"Wrangell-Petersburg Census Area, AK*",2,Population (persons) 1,(NA)
02280,"Wrangell-Petersburg Census Area, AK*",3,Per capita personal income (dollars) 2,(NA)
02282,"Yakutat City and Borough, AK*",1,Personal income (thousands of dollars),44205
02282,"Yakutat City and Borough, AK*",2,Population (persons) 1,690
02282,"Yakutat City and Borough, AK*",3,Per capita personal income (dollars) 2,64065
02290,"Yukon-Koyukuk Census Area, AK*",1,Personal income (thousands of dollars),375227
02290,"Yukon-Koyukuk Census Area, AK*",2,Population (persons) 1,5099
02290,"Yukon-Koyukuk Census Area, AK*",3,Per capita personal income (dollars) 2,73588
02901,"Aleutian Islands Division, AK*",1,Personal income (thousands of dollars),(NA)
02901,"Aleutian Islands Division, AK*",2,Population (persons) 1,(NA)
02901,"Aleutian Islands Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02903,"Angoon Division, AK*",1,Personal income (thousands of dollars),(NA)
02903,"Angoon Division, AK*",2,Population (persons) 1,(NA)
02903,"Angoon Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02904,"Barrow-North Slope Division, AK*",1,Personal income (thousands of dollars),(NA)
02904,"Barrow-North Slope Division, AK*",2,Population (persons) 1,(NA)
02904,"Barrow-North Slope Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02905,"Bethel Division, AK*",1,Personal income (thousands of dollars),(NA)
02905,"Bethel Division, AK*",2,Population (persons) 1,(NA)
02905,"Bethel Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02907,"Bristol Bay Division, AK*",1,Personal income (thousands of dollars),(NA)
02907,"Bristol Bay Division, AK*",2,Population (persons) 1,(NA)
02907,"Bristol Bay Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02908,"Cordova-McCarthy Division, AK*",1,Personal income (thousands of dollars),(NA)
02908,"Cordova-McCarthy Division, AK*",2,Population (persons) 1,(NA)
02908,"Cordova-McCarthy Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02910,"Haines Division, AK*",1,Personal income (thousands of dollars),(NA)
02910,"Haines Division, AK*",2,Population (persons) 1,(NA)
02910,"Haines Division, AK*",3,Per capita personal income (dollars) 2,(NA)
02912,"Kenai-Cook Inlet Division, AK*",1,Personal income (thousands of dollars),(NA)
02912,"Kenai-Cook Inlet Division, AK*",2,Population (persons) 1,(NA)
