"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2022,2023,2024
13177,"Lee, GA",1739556,1800205,1887698
13179,"Liberty, GA",2728811,2903028,3124774
13181,"Lincoln, GA",366728,380142,401628
13183,"Long, GA",721123,782982,862431
13185,"Lowndes, GA",5249295,5529591,5823382
13187,"Lumpkin, GA",1631934,1745951,1878154
13189,"McDuffie, GA",937575,972315,1014196
13191,"McIntosh, GA",548349,594130,634590
13193,"Macon, GA",516590,498821,554863
13195,"Madison, GA",1485970,1521958,1681505
13197,"Marion, GA",286913,295586,312739
13199,"Meriwether, GA",932403,990662,1056629
13201,"Miller, GA",301144,310132,326310
13205,"Mitchell, GA",957938,962723,1020169
13207,"Monroe, GA",1615195,1726242,1857489
13209,"Montgomery, GA",317104,333921,348001
13211,"Morgan, GA",1295651,1364173,1480147
13213,"Murray, GA",1544977,1596644,1700926
13215,"Muscogee, GA",10024631,10647670,11205009
13217,"Newton, GA",4959184,5314946,5727906
13219,"Oconee, GA",3651512,3888909,4088597
13221,"Oglethorpe, GA",729971,748282,816061
13223,"Paulding, GA",8533130,9116983,9873439
13225,"Peach, GA",1270477,1336645,1422991
13227,"Pickens, GA",2116700,2273771,2439169
13229,"Pierce, GA",844903,881174,922568
13231,"Pike, GA",1011681,1077987,1144830
13233,"Polk, GA",1765546,1851093,1952643
13235,"Pulaski, GA",408295,425570,459870
13237,"Putnam, GA",1297124,1386834,1471438
13239,"Quitman, GA",86460,92509,97115
13241,"Rabun, GA",896756,957828,1026644
13243,"Randolph, GA",263019,280984,283408
13245,"Richmond, GA",9039647,9331387,9725431
13247,"Rockdale, GA",3969316,4233379,4510659
13249,"Schley, GA",197983,201395,202305
13251,"Screven, GA",576902,613546,632687
13253,"Seminole, GA",407201,427563,447470
13255,"Spalding, GA",2963007,3145563,3314192
13257,"Stephens, GA",1230113,1287572,1363656
13259,"Stewart, GA",168264,171885,176332
13261,"Sumter, GA",1261869,1310957,1335863
13263,"Talbot, GA",265800,286989,307496
13265,"Taliaferro, GA",70181,69690,75361
13267,"Tattnall, GA",883943,879489,994626
13269,"Taylor, GA",298439,327844,341120
13271,"Telfair, GA",357220,377493,392531
13273,"Terrell, GA",412224,429790,444197
13275,"Thomas, GA",2479643,2604489,2726004
13277,"Tift, GA",1901657,1994568,2083829
13279,"Toombs, GA",1144331,1198600,1268564
13281,"Towns, GA",626422,679633,736981
13283,"Treutlen, GA",249656,268755,265465
13285,"Troup, GA",3190374,3367612,3568858
13287,"Turner, GA",338835,346232,360081
13289,"Twiggs, GA",337011,368176,382658
13291,"Union, GA",1204597,1315605,1398105
13293,"Upson, GA",1185848,1236898,1301663
13295,"Walker, GA",2956243,3089142,3256128
13297,"Walton, GA",5427262,5664394,6082823
13299,"Ware, GA",1394448,1452218,1513299
